state,year,candidate,party,votes
Haryana,2024,Rajiv Das,SP,118484
Madhya Pradesh,2024,Pallavi Sharma,Independent,570917
Goa,2019,Sonal Tiwari,AITC,350355
Punjab,2024,Pallavi Sharma,SP,626014
Jharkhand,2019,Amit Sharma,Independent,105903
Uttar Pradesh,2024,Neha Kulkarni,AITC,350057
Karnataka,2014,Vinod Joshi,INC,217631
Odisha,2019,Deepak Chawla,AITC,575128
Karnataka,2019,Rajesh Nair,SP,232854
Delhi,2014,Pooja Desai,Independent,602077
Himachal Pradesh,2014,Amit Sharma,SP,523690
Madhya Pradesh,2014,Deepak Chawla,BJP,362423
Jharkhand,2024,Anita Menon,Independent,635191
Jharkhand,2024,Karthik Reddy,BJP,457316
Himachal Pradesh,2024,Rajesh Nair,BJP,515338
Uttarakhand,2024,Kiran Rao,Independent,614341
Delhi,2014,Manoj Singh,BJP,501940
West Bengal,2019,Anita Menon,INC,51732
Tripura,2014,Vinod Joshi,SP,372964
Madhya Pradesh,2019,Rajesh Nair,BJP,90219
Sikkim,2024,Vikram Gupta,INC,149871
Sikkim,2019,Suresh Patel,SP,349266
Kerala,2019,Deepak Chawla,INC,180462
Nagaland,2014,Anita Menon,INC,121270
Delhi,2019,Amit Sharma,SP,376803
Maharashtra,2024,Meena Chopra,BJP,171774
Uttarakhand,2019,Meena Chopra,BJP,316603
Gujarat,2019,Simran Kaur,SP,532710
Arunachal Pradesh,2014,Rajesh Nair,SP,284195
Karnataka,2024,Pooja Desai,AITC,414026
Himachal Pradesh,2014,Prakash Yadav,SP,539795
Chhattisgarh,2019,Kiran Rao,INC,257318
Arunachal Pradesh,2024,Amit Sharma,BJP,603620
Manipur,2014,Alok Verma,AITC,449596
Jharkhand,2024,Pallavi Sharma,INC,305498
Bihar,2024,Rajesh Nair,INC,182945
West Bengal,2014,Prakash Yadav,Independent,94316
Sikkim,2019,Neha Kulkarni,SP,640316
Punjab,2014,Sonal Tiwari,Independent,93859
Haryana,2019,Vikram Gupta,SP,623603
Uttar Pradesh,2014,Rajesh Nair,Independent,256675
Madhya Pradesh,2019,Suresh Patel,AITC,53888
Maharashtra,2024,Amit Sharma,Independent,494027
Arunachal Pradesh,2014,Manoj Singh,SP,373700
Meghalaya,2019,Kiran Rao,Independent,529781
Chhattisgarh,2024,Suresh Patel,SP,76031
Delhi,2024,Rajiv Das,AITC,588312
Assam,2019,Anita Menon,Independent,600762
Tripura,2019,Ramesh Gowda,AITC,417173
Mizoram,2019,Pallavi Sharma,INC,636019
Assam,2014,Rajesh Nair,AITC,365736
Uttar Pradesh,2024,Vinod Joshi,AITC,667684
Andhra Pradesh,2024,Ramesh Gowda,AITC,487195
Jharkhand,2014,Amit Sharma,AITC,401046
Sikkim,2019,Kiran Rao,BJP,696736
Karnataka,2024,Prakash Yadav,INC,261809
Assam,2024,Rajiv Das,SP,503241
Madhya Pradesh,2014,Pooja Desai,SP,595973
Rajasthan,2019,Alok Verma,INC,123588
Himachal Pradesh,2019,Ramesh Gowda,AITC,392766
Punjab,2014,Sonal Tiwari,Independent,642335
Karnataka,2014,Pallavi Sharma,SP,622017
Odisha,2014,Pooja Desai,SP,278843
Manipur,2019,Karthik Reddy,INC,544068
Tamil Nadu,2024,Vinod Joshi,Independent,620390
Kerala,2014,Manoj Singh,Independent,490125
Tripura,2024,Deepak Chawla,SP,163380
Rajasthan,2019,Karthik Reddy,INC,578817
Mizoram,2024,Kiran Rao,INC,62000
Tripura,2019,Vikram Gupta,BJP,599985
Goa,2014,Ramesh Gowda,INC,419536
Tamil Nadu,2019,Rajesh Nair,BJP,572084
Haryana,2024,Simran Kaur,SP,71057
Sikkim,2024,Suresh Patel,BJP,315723
Kerala,2024,Suresh Patel,SP,190687
Assam,2019,Vikram Gupta,AITC,687270
Kerala,2024,Neha Kulkarni,INC,107488
Sikkim,2019,Suresh Patel,AITC,444652
Gujarat,2014,Rajesh Nair,AITC,476770
Madhya Pradesh,2014,Anita Menon,SP,149993
Manipur,2014,Sonal Tiwari,SP,263505
Gujarat,2024,Pallavi Sharma,AITC,204664
Uttar Pradesh,2019,Deepak Chawla,Independent,483862
Rajasthan,2019,Anita Menon,SP,378025
Jharkhand,2024,Pooja Desai,BJP,380759
Assam,2024,Vinod Joshi,SP,585589
West Bengal,2014,Pooja Desai,AITC,532783
Bihar,2014,Pallavi Sharma,AITC,571827
Gujarat,2024,Vinod Joshi,AITC,166709
Nagaland,2024,Manoj Singh,AITC,455367
Manipur,2014,Pallavi Sharma,Independent,468474
Goa,2019,Amit Sharma,AITC,543499
Bihar,2019,Simran Kaur,INC,337223
Uttarakhand,2024,Anita Menon,AITC,434540
Odisha,2014,Manoj Singh,AITC,694657
Chhattisgarh,2014,Pooja Desai,BJP,151741
Gujarat,2014,Karthik Reddy,Independent,130901
Chhattisgarh,2024,Vinod Joshi,SP,593966
Manipur,2019,Pooja Desai,SP,148145
Jharkhand,2019,Ramesh Gowda,BJP,105709
Madhya Pradesh,2024,Deepak Chawla,Independent,281500
Maharashtra,2019,Anita Menon,AITC,314259
Jharkhand,2019,Meena Chopra,BJP,462051
Madhya Pradesh,2019,Vikram Gupta,INC,566520
Meghalaya,2019,Anita Menon,SP,616328
Goa,2014,Prakash Yadav,AITC,113797
Karnataka,2024,Manoj Singh,SP,437471
Manipur,2019,Rajesh Nair,Independent,380228
Chhattisgarh,2019,Sonal Tiwari,AITC,534391
Andhra Pradesh,2019,Sonal Tiwari,AITC,491852
Nagaland,2014,Anita Menon,INC,160493
Goa,2019,Ramesh Gowda,INC,649263
Uttar Pradesh,2014,Rajesh Nair,Independent,111129
Sikkim,2014,Anita Menon,Independent,489088
Tamil Nadu,2019,Karthik Reddy,SP,115758
Jharkhand,2019,Anita Menon,BJP,53928
Manipur,2024,Deepak Chawla,BJP,501606
Uttar Pradesh,2014,Vikram Gupta,Independent,238928
Chhattisgarh,2019,Deepak Chawla,AITC,243876
Uttarakhand,2019,Rajiv Das,BJP,393585
Nagaland,2024,Suresh Patel,AITC,57987
Jharkhand,2019,Deepak Chawla,Independent,459708
Bihar,2019,Vinod Joshi,SP,274511
Mizoram,2014,Manoj Singh,BJP,392288
Tamil Nadu,2024,Amit Sharma,SP,189975
Arunachal Pradesh,2019,Ramesh Gowda,BJP,132003
Jharkhand,2014,Manoj Singh,BJP,694743
Bihar,2014,Anita Menon,AITC,607618
Telangana,2014,Simran Kaur,AITC,69656
Andhra Pradesh,2024,Manoj Singh,BJP,172797
Odisha,2014,Rajesh Nair,SP,237981
Uttar Pradesh,2019,Rajesh Nair,SP,179043
Mizoram,2024,Pallavi Sharma,AITC,507388
Rajasthan,2014,Meena Chopra,AITC,332551
Kerala,2019,Prakash Yadav,AITC,169618
Assam,2024,Pooja Desai,BJP,71193
West Bengal,2024,Vinod Joshi,AITC,120993
Uttarakhand,2014,Ramesh Gowda,INC,168199
Maharashtra,2019,Prakash Yadav,INC,247693
Sikkim,2019,Pooja Desai,Independent,522524
Manipur,2014,Neha Kulkarni,Independent,572896
Jharkhand,2019,Alok Verma,BJP,229498
Delhi,2024,Simran Kaur,SP,388766
Arunachal Pradesh,2019,Sonal Tiwari,AITC,217833
Jharkhand,2014,Simran Kaur,BJP,301887
Odisha,2019,Vinod Joshi,BJP,70773
Odisha,2024,Meena Chopra,SP,567456
Telangana,2014,Rajesh Nair,SP,184669
Meghalaya,2024,Sonal Tiwari,AITC,428940
Andhra Pradesh,2014,Pallavi Sharma,AITC,608480
Assam,2024,Neha Kulkarni,AITC,113796
Chhattisgarh,2014,Meena Chopra,AITC,130819
Uttarakhand,2024,Deepak Chawla,INC,468853
Himachal Pradesh,2014,Meena Chopra,Independent,496904
Nagaland,2014,Anita Menon,BJP,448801
West Bengal,2019,Neha Kulkarni,BJP,642514
Chhattisgarh,2024,Manoj Singh,INC,216211
Punjab,2019,Manoj Singh,INC,194426
Kerala,2014,Suresh Patel,AITC,614379
Nagaland,2019,Pallavi Sharma,BJP,446985
Assam,2024,Alok Verma,SP,56767
Mizoram,2014,Anita Menon,Independent,324598
Punjab,2014,Vinod Joshi,BJP,328375
Maharashtra,2019,Pooja Desai,SP,79430
Nagaland,2024,Karthik Reddy,AITC,615897
Nagaland,2014,Neha Kulkarni,SP,235706
Maharashtra,2024,Deepak Chawla,AITC,72428
Punjab,2014,Anita Menon,AITC,594760
Tripura,2014,Prakash Yadav,INC,402790
Bihar,2024,Suresh Patel,INC,105346
Kerala,2024,Deepak Chawla,INC,681741
Goa,2019,Pallavi Sharma,AITC,301102
Jharkhand,2014,Manoj Singh,INC,641576
Assam,2019,Amit Sharma,BJP,678830
Nagaland,2019,Rajiv Das,Independent,185045
Jharkhand,2019,Neha Kulkarni,SP,294498
Madhya Pradesh,2014,Meena Chopra,SP,66123
Goa,2014,Meena Chopra,AITC,123282
Chhattisgarh,2024,Rajiv Das,BJP,150215
Bihar,2019,Simran Kaur,SP,160386
Assam,2024,Suresh Patel,AITC,376810
Mizoram,2024,Ramesh Gowda,BJP,513775
Andhra Pradesh,2019,Kiran Rao,Independent,330438
Uttar Pradesh,2019,Pooja Desai,SP,180502
Haryana,2024,Amit Sharma,SP,208232
Maharashtra,2019,Alok Verma,AITC,534675
Maharashtra,2019,Pooja Desai,BJP,499484
Sikkim,2024,Rajiv Das,BJP,137041
Tripura,2014,Rajesh Nair,INC,542187
Maharashtra,2019,Pooja Desai,SP,399681
Manipur,2014,Rajesh Nair,AITC,369605
Jharkhand,2024,Suresh Patel,INC,81149
Telangana,2024,Ramesh Gowda,INC,583300
Uttarakhand,2019,Alok Verma,AITC,457771
Gujarat,2014,Pooja Desai,INC,574054
Meghalaya,2014,Amit Sharma,Independent,119679
Punjab,2024,Amit Sharma,AITC,553527
Himachal Pradesh,2019,Anita Menon,INC,391177
Haryana,2019,Vinod Joshi,INC,376089
Arunachal Pradesh,2024,Vikram Gupta,INC,364026
Haryana,2024,Meena Chopra,INC,246149
Manipur,2019,Anita Menon,Independent,447310
Jharkhand,2014,Karthik Reddy,BJP,252829
Haryana,2014,Neha Kulkarni,SP,503529
Chhattisgarh,2014,Simran Kaur,Independent,162253
Goa,2014,Suresh Patel,SP,699644
Sikkim,2014,Ramesh Gowda,AITC,494328
Manipur,2014,Meena Chopra,AITC,548780
Mizoram,2014,Pooja Desai,Independent,639724
Uttar Pradesh,2014,Pooja Desai,AITC,430150
Jharkhand,2019,Neha Kulkarni,INC,61283
West Bengal,2014,Deepak Chawla,SP,328845
Rajasthan,2019,Sonal Tiwari,SP,587880
Uttarakhand,2019,Simran Kaur,BJP,379097
Goa,2024,Rajiv Das,SP,95727
Uttar Pradesh,2014,Rajiv Das,BJP,450599
Bihar,2014,Suresh Patel,Independent,229297
Andhra Pradesh,2024,Ramesh Gowda,Independent,626642
Haryana,2024,Manoj Singh,SP,277538
Jharkhand,2024,Vinod Joshi,AITC,504499
Mizoram,2014,Prakash Yadav,SP,209239
Punjab,2024,Pallavi Sharma,BJP,487842
Nagaland,2024,Simran Kaur,SP,115143
Telangana,2024,Deepak Chawla,SP,66146
Chhattisgarh,2019,Karthik Reddy,BJP,93388
Haryana,2019,Prakash Yadav,BJP,467298
Tamil Nadu,2024,Alok Verma,SP,671910
Bihar,2024,Amit Sharma,SP,279142
Uttarakhand,2024,Simran Kaur,AITC,88399
Madhya Pradesh,2014,Suresh Patel,INC,323175
Haryana,2014,Karthik Reddy,SP,640001
Punjab,2019,Vikram Gupta,AITC,555568
Andhra Pradesh,2014,Pallavi Sharma,BJP,689786
Gujarat,2014,Pooja Desai,Independent,432199
Uttarakhand,2024,Anita Menon,AITC,652436
Gujarat,2024,Vinod Joshi,Independent,632318
Manipur,2014,Amit Sharma,BJP,187107
Gujarat,2019,Ramesh Gowda,BJP,510201
Chhattisgarh,2019,Meena Chopra,INC,96932
Tamil Nadu,2019,Anita Menon,SP,182862
Kerala,2024,Sonal Tiwari,Independent,274829
Rajasthan,2019,Sonal Tiwari,AITC,103707
Rajasthan,2019,Meena Chopra,Independent,536958
Mizoram,2014,Manoj Singh,SP,682183
Maharashtra,2019,Pallavi Sharma,INC,481691
Tamil Nadu,2024,Kiran Rao,BJP,626266
Maharashtra,2019,Pooja Desai,BJP,250931
Jharkhand,2024,Suresh Patel,AITC,444353
Karnataka,2019,Karthik Reddy,INC,290476
Telangana,2019,Meena Chopra,SP,479388
Haryana,2019,Ramesh Gowda,Independent,564087
Chhattisgarh,2014,Rajesh Nair,SP,570233
Madhya Pradesh,2024,Anita Menon,SP,438607
Andhra Pradesh,2019,Neha Kulkarni,SP,223593
Andhra Pradesh,2014,Ramesh Gowda,Independent,71616
Delhi,2014,Anita Menon,BJP,666416
Nagaland,2019,Alok Verma,AITC,593885
Uttarakhand,2024,Karthik Reddy,INC,202046
Nagaland,2014,Deepak Chawla,AITC,162251
Gujarat,2014,Rajiv Das,AITC,699524
Goa,2014,Karthik Reddy,SP,532730
Tripura,2019,Rajiv Das,AITC,510288
Jharkhand,2014,Rajiv Das,BJP,438182
Tamil Nadu,2014,Alok Verma,AITC,373076
Uttar Pradesh,2019,Neha Kulkarni,AITC,273392
Tripura,2014,Vinod Joshi,Independent,352642
Assam,2014,Kiran Rao,INC,504288
Maharashtra,2019,Meena Chopra,SP,475349
Karnataka,2014,Prakash Yadav,BJP,621145
Sikkim,2024,Rajiv Das,Independent,229408
Uttar Pradesh,2014,Simran Kaur,SP,195237
Manipur,2024,Rajiv Das,BJP,440098
Chhattisgarh,2014,Pallavi Sharma,SP,463530
Manipur,2024,Ramesh Gowda,Independent,540883
Assam,2019,Prakash Yadav,Independent,337108
Assam,2019,Meena Chopra,AITC,73725
West Bengal,2014,Vikram Gupta,INC,433460
Sikkim,2014,Vinod Joshi,Independent,118212
Goa,2019,Vikram Gupta,Independent,323175
Uttar Pradesh,2024,Anita Menon,BJP,479032
Uttar Pradesh,2024,Suresh Patel,AITC,102883
Haryana,2014,Simran Kaur,BJP,369065
Mizoram,2024,Rajesh Nair,AITC,523971
Mizoram,2014,Neha Kulkarni,Independent,578807
Sikkim,2024,Manoj Singh,BJP,502461
Gujarat,2019,Anita Menon,Independent,561254
Mizoram,2019,Ramesh Gowda,BJP,597081
Tripura,2019,Meena Chopra,BJP,452996
Nagaland,2024,Neha Kulkarni,SP,72303
Andhra Pradesh,2019,Alok Verma,BJP,78550
Meghalaya,2019,Vikram Gupta,AITC,407296
Manipur,2024,Neha Kulkarni,Independent,176559
Nagaland,2019,Alok Verma,INC,405776
West Bengal,2019,Suresh Patel,Independent,222869
Kerala,2024,Kiran Rao,SP,129435
Odisha,2014,Vikram Gupta,AITC,567689
Karnataka,2014,Sonal Tiwari,BJP,445392
Gujarat,2024,Vinod Joshi,SP,226845
Gujarat,2024,Rajiv Das,INC,683095
Haryana,2019,Vinod Joshi,SP,367493
Tamil Nadu,2019,Rajesh Nair,INC,678884
Assam,2014,Deepak Chawla,Independent,265006
Punjab,2024,Rajiv Das,SP,548930
Bihar,2019,Karthik Reddy,INC,699261
Mizoram,2019,Vinod Joshi,INC,499868
Arunachal Pradesh,2024,Rajesh Nair,AITC,241123
Mizoram,2019,Rajesh Nair,SP,104129
Odisha,2024,Anita Menon,SP,178615
Karnataka,2014,Anita Menon,BJP,92174
Mizoram,2014,Meena Chopra,AITC,100436
Delhi,2014,Karthik Reddy,BJP,336295
Haryana,2014,Ramesh Gowda,BJP,382662
Odisha,2014,Sonal Tiwari,BJP,450891
Gujarat,2014,Anita Menon,SP,381004
Tripura,2019,Pallavi Sharma,BJP,370607
Tripura,2014,Meena Chopra,SP,340261
Uttarakhand,2014,Deepak Chawla,Independent,124758
Tripura,2019,Neha Kulkarni,INC,658694
Maharashtra,2014,Deepak Chawla,Independent,106023
Odisha,2014,Meena Chopra,INC,480622
Arunachal Pradesh,2024,Vinod Joshi,INC,490553
Bihar,2024,Suresh Patel,BJP,315928
Maharashtra,2019,Meena Chopra,BJP,345041
Tamil Nadu,2019,Anita Menon,INC,425627
Punjab,2019,Pooja Desai,Independent,436318
Karnataka,2024,Vinod Joshi,BJP,184667
Goa,2014,Neha Kulkarni,INC,217484
Kerala,2024,Simran Kaur,INC,258638
Maharashtra,2019,Rajesh Nair,Independent,264029
Haryana,2014,Pallavi Sharma,AITC,413521
Uttarakhand,2014,Kiran Rao,INC,227587
Kerala,2019,Rajiv Das,AITC,64341
West Bengal,2019,Karthik Reddy,BJP,268301
Andhra Pradesh,2024,Manoj Singh,INC,565663
Kerala,2014,Karthik Reddy,BJP,341580
Uttar Pradesh,2024,Manoj Singh,AITC,99865
Rajasthan,2024,Meena Chopra,Independent,321165
Nagaland,2014,Deepak Chawla,Independent,143573
Andhra Pradesh,2019,Vinod Joshi,AITC,114962
Karnataka,2024,Rajesh Nair,Independent,547549
Arunachal Pradesh,2014,Rajesh Nair,AITC,327952
Arunachal Pradesh,2024,Rajesh Nair,SP,74570
Goa,2019,Ramesh Gowda,INC,320478
Uttar Pradesh,2014,Alok Verma,SP,485079
Manipur,2024,Rajiv Das,SP,514576
Madhya Pradesh,2014,Alok Verma,INC,695338
Maharashtra,2014,Alok Verma,SP,525683
Odisha,2024,Rajesh Nair,Independent,637864
West Bengal,2024,Pallavi Sharma,Independent,414916
Tamil Nadu,2019,Simran Kaur,SP,411017
Haryana,2019,Suresh Patel,BJP,266071
Maharashtra,2024,Alok Verma,Independent,371190
Goa,2019,Ramesh Gowda,Independent,289024
Manipur,2019,Pooja Desai,BJP,87336
Kerala,2024,Amit Sharma,BJP,262032
Bihar,2024,Anita Menon,INC,308465
Maharashtra,2014,Manoj Singh,Independent,393795
Manipur,2019,Karthik Reddy,INC,194568
Meghalaya,2024,Vinod Joshi,INC,696793
Tripura,2019,Meena Chopra,BJP,253105
Goa,2024,Pooja Desai,INC,477311
Chhattisgarh,2024,Prakash Yadav,BJP,508225
Meghalaya,2014,Rajesh Nair,INC,236599
Telangana,2024,Kiran Rao,INC,252118
Chhattisgarh,2019,Manoj Singh,AITC,644879
Andhra Pradesh,2024,Suresh Patel,AITC,477307
Himachal Pradesh,2014,Vikram Gupta,BJP,635789
Rajasthan,2014,Prakash Yadav,BJP,154894
Bihar,2014,Prakash Yadav,Independent,146420
Tamil Nadu,2019,Suresh Patel,AITC,663042
Jharkhand,2014,Rajiv Das,BJP,51236
Nagaland,2019,Prakash Yadav,AITC,375147
Meghalaya,2014,Sonal Tiwari,INC,118607
Meghalaya,2019,Alok Verma,AITC,632535
Goa,2019,Meena Chopra,BJP,284344
Arunachal Pradesh,2019,Pallavi Sharma,AITC,489995
Kerala,2024,Pooja Desai,BJP,464639
Goa,2014,Sonal Tiwari,INC,662245
Odisha,2019,Prakash Yadav,AITC,672174
Telangana,2014,Karthik Reddy,BJP,514597
Sikkim,2024,Manoj Singh,BJP,515148
Jharkhand,2019,Alok Verma,BJP,260477
Jharkhand,2024,Alok Verma,SP,546722
Assam,2024,Rajiv Das,INC,333552
Uttar Pradesh,2019,Neha Kulkarni,BJP,333954
Haryana,2014,Amit Sharma,AITC,184726
Rajasthan,2024,Meena Chopra,INC,674231
Himachal Pradesh,2014,Pooja Desai,INC,345224
Haryana,2019,Neha Kulkarni,INC,376253
Goa,2019,Alok Verma,INC,120163
Meghalaya,2019,Rajiv Das,SP,93839
Goa,2019,Sonal Tiwari,SP,106132
Assam,2014,Manoj Singh,BJP,303497
Gujarat,2019,Ramesh Gowda,BJP,205604
Delhi,2014,Rajiv Das,INC,558017
Chhattisgarh,2014,Pallavi Sharma,BJP,393575
Madhya Pradesh,2014,Amit Sharma,BJP,656939
Sikkim,2024,Pooja Desai,AITC,106993
Madhya Pradesh,2024,Neha Kulkarni,INC,288514
Jharkhand,2019,Pooja Desai,SP,606459
Manipur,2014,Sonal Tiwari,INC,214829
Himachal Pradesh,2014,Pallavi Sharma,INC,567040
Jharkhand,2019,Deepak Chawla,AITC,100845
Chhattisgarh,2014,Vikram Gupta,BJP,460218
Sikkim,2024,Meena Chopra,Independent,155366
Odisha,2019,Rajesh Nair,SP,316923
Nagaland,2024,Pallavi Sharma,Independent,326195
Maharashtra,2019,Sonal Tiwari,INC,258955
Telangana,2024,Kiran Rao,AITC,482916
Tamil Nadu,2019,Vinod Joshi,AITC,689987
Meghalaya,2019,Meena Chopra,SP,245640
Telangana,2014,Sonal Tiwari,Independent,623420
Gujarat,2019,Alok Verma,SP,397473
Meghalaya,2014,Kiran Rao,BJP,547007
Uttarakhand,2014,Anita Menon,INC,589849
Manipur,2024,Simran Kaur,INC,587981
Rajasthan,2019,Simran Kaur,INC,285571
Tripura,2019,Deepak Chawla,INC,289870
Chhattisgarh,2024,Rajiv Das,INC,671679
Telangana,2019,Alok Verma,SP,356733
Rajasthan,2024,Alok Verma,AITC,170490
Telangana,2014,Amit Sharma,SP,133249
Himachal Pradesh,2024,Ramesh Gowda,AITC,110438
Punjab,2019,Karthik Reddy,AITC,104953
Chhattisgarh,2019,Ramesh Gowda,SP,630531
Tripura,2024,Deepak Chawla,SP,631017
Mizoram,2019,Sonal Tiwari,BJP,650199
Tripura,2024,Anita Menon,INC,278484
Assam,2014,Anita Menon,AITC,596046
Odisha,2019,Vinod Joshi,BJP,671728
Karnataka,2024,Simran Kaur,AITC,152045
Maharashtra,2019,Kiran Rao,AITC,188563
Punjab,2019,Sonal Tiwari,SP,665602
Maharashtra,2024,Suresh Patel,INC,277456
Jharkhand,2019,Anita Menon,AITC,147168
Punjab,2019,Suresh Patel,BJP,609129
Punjab,2019,Manoj Singh,Independent,553454
Uttar Pradesh,2019,Rajiv Das,BJP,165095
Telangana,2024,Deepak Chawla,AITC,585984
Nagaland,2014,Pallavi Sharma,BJP,422353
Tamil Nadu,2014,Alok Verma,INC,372450
Maharashtra,2019,Manoj Singh,INC,684194
Kerala,2014,Manoj Singh,SP,255225
Goa,2019,Ramesh Gowda,SP,611430
Tripura,2014,Manoj Singh,BJP,344294
Haryana,2014,Kiran Rao,INC,624954
Chhattisgarh,2019,Simran Kaur,SP,463425
Chhattisgarh,2019,Anita Menon,BJP,376167
Himachal Pradesh,2019,Deepak Chawla,SP,673375
Haryana,2014,Vinod Joshi,BJP,497626
Punjab,2024,Anita Menon,INC,407688
Uttarakhand,2019,Rajesh Nair,BJP,685154
Haryana,2019,Suresh Patel,BJP,205168
Goa,2014,Alok Verma,BJP,364431
Manipur,2014,Alok Verma,SP,620952
Bihar,2014,Alok Verma,INC,506067
Uttar Pradesh,2019,Rajesh Nair,Independent,407762
Uttarakhand,2019,Rajesh Nair,SP,303397
Punjab,2014,Rajiv Das,SP,407654
Rajasthan,2014,Neha Kulkarni,BJP,166660
Tamil Nadu,2019,Vinod Joshi,SP,537088
Punjab,2019,Suresh Patel,AITC,355131
Tripura,2019,Pallavi Sharma,SP,620566
Assam,2014,Pallavi Sharma,BJP,165829
Uttar Pradesh,2024,Prakash Yadav,INC,140429
Jharkhand,2024,Anita Menon,INC,409469
Andhra Pradesh,2024,Sonal Tiwari,BJP,551147
Arunachal Pradesh,2014,Vikram Gupta,INC,79809
Manipur,2019,Ramesh Gowda,Independent,65559
Andhra Pradesh,2014,Neha Kulkarni,Independent,378750
Bihar,2024,Manoj Singh,BJP,443553
Arunachal Pradesh,2024,Karthik Reddy,Independent,249971
Chhattisgarh,2014,Rajesh Nair,BJP,108133
Himachal Pradesh,2024,Rajesh Nair,BJP,592591
Madhya Pradesh,2024,Meena Chopra,BJP,277593
Nagaland,2014,Anita Menon,AITC,604090
Meghalaya,2014,Rajiv Das,AITC,254922
Telangana,2014,Sonal Tiwari,SP,216638
Delhi,2014,Neha Kulkarni,Independent,77790
Madhya Pradesh,2024,Prakash Yadav,SP,593682
Nagaland,2014,Sonal Tiwari,SP,388932
Delhi,2019,Deepak Chawla,SP,264252
Mizoram,2014,Vinod Joshi,INC,226662
Assam,2014,Meena Chopra,INC,325805
Uttarakhand,2014,Suresh Patel,Independent,444126
Tripura,2024,Sonal Tiwari,BJP,553327
Madhya Pradesh,2014,Kiran Rao,INC,618748
Bihar,2014,Alok Verma,INC,71761
Goa,2014,Vinod Joshi,Independent,210695
Delhi,2014,Deepak Chawla,SP,600460
Tamil Nadu,2024,Amit Sharma,BJP,50622
Kerala,2019,Pooja Desai,INC,435341
Uttarakhand,2019,Vikram Gupta,SP,172106
Bihar,2019,Sonal Tiwari,AITC,568594
Himachal Pradesh,2024,Suresh Patel,BJP,588724
Chhattisgarh,2014,Pooja Desai,AITC,210216
Manipur,2014,Amit Sharma,BJP,665558
Manipur,2014,Rajesh Nair,BJP,270644
Himachal Pradesh,2019,Sonal Tiwari,AITC,543218
Madhya Pradesh,2014,Anita Menon,SP,530409
Sikkim,2014,Ramesh Gowda,BJP,633831
Uttarakhand,2019,Pallavi Sharma,BJP,362883
Andhra Pradesh,2024,Vikram Gupta,SP,655746
Assam,2024,Rajesh Nair,AITC,436295
Delhi,2019,Sonal Tiwari,SP,570707
Delhi,2024,Rajiv Das,Independent,562569
Meghalaya,2014,Neha Kulkarni,SP,353558
Chhattisgarh,2019,Neha Kulkarni,Independent,480323
Arunachal Pradesh,2024,Anita Menon,Independent,358876
Delhi,2019,Vikram Gupta,SP,267945
Kerala,2014,Simran Kaur,SP,368673
Meghalaya,2014,Amit Sharma,AITC,260745
Sikkim,2019,Suresh Patel,AITC,274870
Tamil Nadu,2019,Alok Verma,SP,399941
Chhattisgarh,2019,Vinod Joshi,AITC,688623
Manipur,2024,Kiran Rao,BJP,397550
Sikkim,2014,Rajesh Nair,INC,650272
Gujarat,2019,Kiran Rao,INC,645596
Haryana,2014,Rajesh Nair,Independent,689360
Gujarat,2014,Ramesh Gowda,BJP,286660
Telangana,2014,Deepak Chawla,Independent,627669
Himachal Pradesh,2019,Ramesh Gowda,SP,574632
Himachal Pradesh,2019,Deepak Chawla,BJP,600080
Kerala,2019,Ramesh Gowda,BJP,400819
Tamil Nadu,2014,Deepak Chawla,AITC,435760
Gujarat,2014,Anita Menon,Independent,693585
Uttarakhand,2024,Rajiv Das,AITC,102562
Haryana,2019,Pallavi Sharma,Independent,544326
Assam,2024,Karthik Reddy,BJP,674455
Uttarakhand,2019,Deepak Chawla,Independent,351784
Manipur,2014,Rajiv Das,SP,373429
Rajasthan,2019,Neha Kulkarni,BJP,671191
Maharashtra,2024,Rajiv Das,Independent,347241
Delhi,2019,Meena Chopra,Independent,229632
Maharashtra,2014,Alok Verma,AITC,530153
Kerala,2014,Suresh Patel,Independent,232650
Punjab,2024,Ramesh Gowda,BJP,73750
Bihar,2014,Alok Verma,INC,694106
Manipur,2019,Amit Sharma,Independent,393299
Uttar Pradesh,2019,Anita Menon,SP,78208
Kerala,2019,Vikram Gupta,INC,382264
Haryana,2014,Amit Sharma,SP,542234
Gujarat,2019,Vikram Gupta,INC,515485
Gujarat,2014,Kiran Rao,Independent,222788
Sikkim,2019,Vinod Joshi,BJP,549373
Nagaland,2019,Karthik Reddy,BJP,673999
Nagaland,2024,Manoj Singh,AITC,491199
Goa,2024,Karthik Reddy,Independent,575445
Uttar Pradesh,2024,Ramesh Gowda,Independent,265201
Andhra Pradesh,2024,Vikram Gupta,INC,676322
Punjab,2019,Neha Kulkarni,SP,663885
Maharashtra,2019,Karthik Reddy,INC,138460
Tamil Nadu,2024,Vinod Joshi,INC,313764
Uttar Pradesh,2024,Prakash Yadav,AITC,115295
Punjab,2014,Vinod Joshi,BJP,629204
Mizoram,2014,Pallavi Sharma,SP,464247
Delhi,2019,Rajesh Nair,INC,354917
Odisha,2024,Rajesh Nair,BJP,605931
Telangana,2024,Pooja Desai,Independent,590824
Mizoram,2024,Sonal Tiwari,AITC,681004
Uttarakhand,2024,Suresh Patel,Independent,96414
Nagaland,2024,Vinod Joshi,INC,396399
Nagaland,2014,Simran Kaur,SP,58843
